"dn","objectguid","cn","samaccountname","name","grouptype","memberof","extensionattribute10","extensionattribute11","extensionattribute12","extensionattribute13","extensionattribute14","extensionattribute15","mail_enabled","syncattrs_hash","dn_hash","whencreated","whenchanged","placeholder"
"CN=B011C03,OU=B011C03,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011C03,B011C03,B011C03,-2147483640,"CN=B011C00,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011C03審查一科審核員二組(停用),B011C03審查一科審核員二組(停用),B011C03審查一科審核員二組(停用),B011C03審查一科審核員二組(停用),B011C03審查一科審核員二組(停用),B011C03審查一科審核員二組(停用),"1","6bc3549e160bdf8d021a1fde8c67fa7841bb861e09df133de70077ebf40c10b2","3d9818202547d22f6e5a5bdeeeca757a4b9e75d7599f6a57aa7645a4e35f42a1",2012-02-06 15:32:56,2023-01-15 13:14:36,external
"CN=B011D01,OU=B011D01,OU=B011D00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011D01,B011D01,B011D01,-2147483640,"CN=B011D00,OU=B011D00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011D01徵收科徵退股,B011D01徵收科徵退股,B011D01徵收科徵退股,B011D01徵收科徵退股,B011D01徵收科徵退股,B011D01徵收科徵退股,"1",b57b25e48e0748d5f157b769c890d19ccb39538c76c211c8745be28cddbe9385,"55eab7c20094ff2331618fe0f5646d11635e2abf1631927fda97dbbefdc3494e",2012-02-06 15:33:06,2023-01-13 18:46:04,external
"CN=B011Q08,OU=B011Q08,OU=B011Q00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011Q08,B011Q08,B011Q08,-2147483640,"CN=B011Q00,OU=B011Q00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011Q08徵收及資訊組欠稅清理及執行股,B011Q08徵收及資訊組欠稅清理及執行股,B011Q08徵收及資訊組欠稅清理及執行股,B011Q08徵收及資訊組欠稅清理及執行股,B011Q08徵收及資訊組欠稅清理及執行股,B011Q08徵收及資訊組欠稅清理及執行股,"1",b5e175c597dbed723404de63e743feeca74a58e8acc8b99405612fb0a3635f73,c1e6e90f6ba0f3df7ce99fd79fb3607b72c2d72a54c9f3cbdced83c5d77262d6,2022-12-19 15:54:16,2023-01-13 18:46:56,external
"CN=B011C07,OU=B011C07,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011C07,B011C07,B011C07,-2147483640,"CN=B011C00,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011C07營所稅組審查三股,B011C07營所稅組審查三股,B011C07營所稅組審查三股,B011C07營所稅組審查三股,B011C07營所稅組審查三股,B011C07營所稅組審查三股,"1",a36c9d5663eadf3211dd339998863f8e669faefe040ade5c8ccf9f7de429a5f9,a6cca301ac4067fa52f64e134b4aeb615656dba23aebac5ad8cbd7b794637ed9,2012-02-06 15:33:00,2023-01-13 18:45:59,external
"CN=B011C09,OU=B011C09,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011C09,B011C09,B011C09,-2147483640,"CN=B011C00,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011C09審查一科五股(停用),B011C09審查一科五股(停用),B011C09審查一科五股(停用),B011C09審查一科五股(停用),B011C09審查一科五股(停用),B011C09審查一科五股(停用),"1","4795ce5fb8bb066fa1c306674be4218aa417449a37833e5a6395f3dc0806714c","3a413ca4c9ee0c795abd5ad92e422146ddd0b31ff714b01d9105972089414607",2012-02-06 15:33:02,2023-01-13 18:46:00,external
"CN=B011C11,OU=B011C11,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011C11,B011C11,B011C11,-2147483640,"CN=B01,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011C11審核員組(停用),B011C11審核員組(停用),B011C11審核員組(停用),B011C11審核員組(停用),B011C11審核員組(停用),B011C11審核員組(停用),"1","2b51a63e087d7dc8feb295e5e1e3819d5b7b4b94b0334c96c780949fdc76b213","8f189e951b5f5b815dc83bec309ffdc7b4710242e3ff1daca45847c49a4d35b5",2013-03-08 10:25:18,2023-01-13 20:33:03,external
"CN=B011D00,OU=B011D00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011D00,B011D00,B011D00,-2147483640,"CN=B01,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011D00徵收科,B011D00徵收科,B011D00徵收科,B011D00徵收科,B011D00徵收科,B011D00徵收科,"1",cd22d128b23476dce8be843eb2a664c98a13bf552f4d0e63f39626b13d1a29f1,"1988ad746ed6f056fa2a033a5233a93d12f57de38f73f588d7afc1aac6605082",2012-02-06 15:33:05,2023-01-13 20:33:04,external
"CN=BELROOT,OU=BELROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,BELROOT,BELROOT,BELROOT,-2147483640,,BELROOT中區國稅局外部機關根節點,BELROOT中區國稅局外部機關根節點,BELROOT中區國稅局外部機關根節點,BELROOT中區國稅局外部機關根節點,BELROOT中區國稅局外部機關根節點,BELROOT中區國稅局外部機關根節點,"0",b034ead4c5a5442ad377581d2be6ef4f93b86a39ee4e0f901958b36c35c5cd00,"0d0b9fb761d333b75a63e37b6b314e4046a227a4d5410bb5cfa57bcddadc30e5",2011-09-14 15:18:28,2020-03-13 10:33:43,external
"CN=BELN003,OU=BELN003,OU=BELN0,OU=BELROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,BELN003,BELN003,BELN003,-2147483640,"CN=BELN0,OU=BELN0,OU=BELROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",BELN003財政部法制處,BELN003財政部法制處,BELN003財政部法制處,BELN003財政部法制處,BELN003財政部法制處,BELN003財政部法制處,"0","4617d20921a2a0dc02c00a0865ed3ffdcdfb7589c90567b8780726306979904f","57b037facaed6e73fffba319bbfcd13c68bc4397fa84da268daae73242708dbb",2020-09-30 15:41:57,2020-10-02 10:04:18,external
"CN=B011E06,OU=B011E06,OU=B011E00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011E06,B011E06,B011E06,-2147483640,"CN=B011E00,OU=B011E00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011E06銷售稅組營業稅一股,B011E06銷售稅組營業稅一股,B011E06銷售稅組營業稅一股,B011E06銷售稅組營業稅一股,B011E06銷售稅組營業稅一股,B011E06銷售稅組營業稅一股,"1","100f370e468220b7e41ec35917f70714294fef1ad864c9a6fbd0aba2989cc15e",e939dd8d201b7cb0173b796433106f9b7a17690c34cf88803d6fc35eb4e84d89,2023-01-01 13:26:31,2023-01-13 18:46:11,external
"CN=B011T08,OU=B011T08,OU=B011T00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011T08,B011T08,B011T08,-2147483640,"CN=B011T00,OU=B011T00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011T08法務組行政救濟二股,B011T08法務組行政救濟二股,B011T08法務組行政救濟二股,B011T08法務組行政救濟二股,B011T08法務組行政救濟二股,B011T08法務組行政救濟二股,"1","690f81bf002b5bcb7f05b2706ad4640eedebf2c81c826521dcb18259c4a70ea6","6eed8c2eb3657a98059a0ad87cbbc9760fcdfde5110ec8793f7408c3d8c4e81d",2023-01-01 13:27:53,2023-01-13 18:47:10,external
"CN=B011F10,OU=B011F10,OU=B011F00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011F10,B011F10,B011F10,-2147483640,"CN=B011F00,OU=B011F00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011F10綜合行政組服務股,B011F10綜合行政組服務股,B011F10綜合行政組服務股,B011F10綜合行政組服務股,B011F10綜合行政組服務股,B011F10綜合行政組服務股,"1","2357594d9828c0c9915965ddeb755a816744aa7a2e1ac492ba552141b04ba4d5","30dbe1a3b98ad867c02b9ea85be2b434ef296b0bae13a771e69871c718e01dad",2023-01-01 13:28:32,2023-01-13 18:46:17,external
"CN=B011F11,OU=B011F11,OU=B011F00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011F11,B011F11,B011F11,-2147483640,"CN=B011F00,OU=B011F00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011F11綜合行政組租稅教育及宣導股,B011F11綜合行政組租稅教育及宣導股,B011F11綜合行政組租稅教育及宣導股,B011F11綜合行政組租稅教育及宣導股,B011F11綜合行政組租稅教育及宣導股,B011F11綜合行政組租稅教育及宣導股,"1",b38996ba48a5eecce12b0af560649b9a61eb92edbf7da7cdd47df8608a4122e2,"6bd9e6c4ecd588e1b696ae7cea94ee86cbbad2969088687c0ade166a95634a75",2023-01-01 13:29:02,2023-01-13 18:46:18,external
"CN=B011K00,OU=B011K00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011K00,B011K00,B011K00,-2147483640,"CN=B01,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011K00秘書室,B011K00秘書室,B011K00秘書室,B011K00秘書室,B011K00秘書室,B011K00秘書室,"1",e5c1e14a344ccb5e06dcb9337f396deaac10e8893ec01104af654f28257b3e34,"21309971c44398aff7fbe1487c365a4140f6345c1c2af06bb8eac1e4d1b37622",2012-02-06 15:33:46,2023-01-13 20:33:09,external
"CN=B011Q07,OU=B011Q07,OU=B011Q00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011Q07,B011Q07,B011Q07,-2147483640,"CN=B011Q00,OU=B011Q00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011Q07徵收及資訊組徵收及劃解退稅股,B011Q07徵收及資訊組徵收及劃解退稅股,B011Q07徵收及資訊組徵收及劃解退稅股,B011Q07徵收及資訊組徵收及劃解退稅股,B011Q07徵收及資訊組徵收及劃解退稅股,B011Q07徵收及資訊組徵收及劃解退稅股,"1","3482cabc9bf36f8d0904d741365fd2f5de5354af9cc3764874010e29b0f34253","1de22748e734cae71285fcaae7f74d7f4b85bfc51135448f63a6fcf27594882b",2022-12-19 15:52:19,2023-01-13 18:46:55,external
"CN=B011C12,OU=B011C12,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011C12,B011C12,B011C12,-2147483640,"CN=B011C00,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011C12營所稅組審查四股,B011C12營所稅組審查四股,B011C12營所稅組審查四股,B011C12營所稅組審查四股,B011C12營所稅組審查四股,B011C12營所稅組審查四股,"1","83f71609cf87388926702564f56e4ecd84bf52bcc576c03e5c4b216913b26821",d0a66d973903e8fb626fe07ca4af00456deba59fc1782d614e70745740207705,2023-01-01 13:24:45,2023-01-13 18:46:01,external
"CN=B011C13,OU=B011C13,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011C13,B011C13,B011C13,-2147483640,"CN=B011C00,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011C13營所稅組審查五股,B011C13營所稅組審查五股,B011C13營所稅組審查五股,B011C13營所稅組審查五股,B011C13營所稅組審查五股,B011C13營所稅組審查五股,"1",aa2b74d3666022ef48c0e0892c3e638a62b88a3a0e33b8239b99b46abeaa21a8,"9be31630310cc89bb905398f67e9c2f8b422c763643d8e4237cebd98baca73b8",2023-01-01 13:25:35,2023-01-13 18:46:02,external
"CN=B011C02,OU=B011C02,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011C02,B011C02,B011C02,-2147483640,"CN=B011C00,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011C02審查一科審核員一組(停用),B011C02審查一科審核員一組(停用),B011C02審查一科審核員一組(停用),B011C02審查一科審核員一組(停用),B011C02審查一科審核員一組(停用),B011C02審查一科審核員一組(停用),"1","641eb97f2ecf15f426995168312f5dd05a47b4a01de810112fa083ad73672bf4",fe762b169c1c9e7afbbfaaf5289b5f4735ced9f41a1752ab16a7585b05fa870c,2012-02-06 15:32:55,2023-01-15 13:14:32,external
"CN=B011D02,OU=B011D02,OU=B011D00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011D02,B011D02,B011D02,-2147483640,"CN=B011D00,OU=B011D00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011D02徵收科劃退股(停用),B011D02徵收科劃退股(停用),B011D02徵收科劃退股(停用),B011D02徵收科劃退股(停用),B011D02徵收科劃退股(停用),B011D02徵收科劃退股(停用),"1","15e27054243f9ce40a55d3b829190e5e07af4198783f33fba4d29ab15ea452d4","86320634d422835ad1d54a6991a5470ba3701c6a36bc586c8226468888bdc23c",2012-02-06 15:33:07,2023-01-13 18:46:05,external
"CN=B011D04,OU=B011D04,OU=B011D00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011D04,B011D04,B011D04,-2147483640,"CN=B011D00,OU=B011D00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011D04徵收科執行股(停用),B011D04徵收科執行股(停用),B011D04徵收科執行股(停用),B011D04徵收科執行股(停用),B011D04徵收科執行股(停用),B011D04徵收科執行股(停用),"1","283e531da38caf72c133dab8ab0ee586360dc1cb2e2c7ba66d10566294495d70","4db52e998115fe3056eafa3c676662d02ed7ce55104367cfbfe4fcf9a9f5dfb1",2012-02-06 15:33:09,2023-01-13 18:46:06,external
"CN=B011E01,OU=B011E01,OU=B011E00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011E01,B011E01,B011E01,-2147483640,"CN=B011E00,OU=B011E00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011E01銷售稅組特種消費稅股,B011E01銷售稅組特種消費稅股,B011E01銷售稅組特種消費稅股,B011E01銷售稅組特種消費稅股,B011E01銷售稅組特種消費稅股,B011E01銷售稅組特種消費稅股,"1","01545c2010ba3f88e7eddde0938bfb4751507dc0a86975a902ca7b75d5ac548c","45ac5ce5f86b72810d1565e0092d42256967771ee2aef38073bbed6390040dab",2012-02-06 15:33:14,2023-01-13 18:46:08,external
"CN=B011E02,OU=B011E02,OU=B011E00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011E02,B011E02,B011E02,-2147483640,"CN=B011E00,OU=B011E00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011E02銷售稅組查緝股,B011E02銷售稅組查緝股,B011E02銷售稅組查緝股,B011E02銷售稅組查緝股,B011E02銷售稅組查緝股,B011E02銷售稅組查緝股,"1","87ae9f0998374fd6ea3804e81b7fceedf9a5d6821258436dd16956db4a97d9f2","9da382a68206b49690491e62546a71eecf2af757fb413c679ca0a474e14a920b",2012-02-06 15:33:15,2023-01-13 18:46:08,external
"CN=B011E04,OU=B011E04,OU=B011E00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011E04,B011E04,B011E04,-2147483640,"CN=B011E00,OU=B011E00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011E04審查三科查緝二股(停用),B011E04審查三科查緝二股(停用),B011E04審查三科查緝二股(停用),B011E04審查三科查緝二股(停用),B011E04審查三科查緝二股(停用),B011E04審查三科查緝二股(停用),"1","5f8218c433c830c47e68efc80e98d6a74bfa8eb484b001307553c2b71655b844",b679baebd160953009e4413d5fce8b1f8fdeb6f2f09d76feec287589b57d2605,2012-02-06 15:33:17,2023-01-13 18:46:10,external
