"displayname","ou","dn","objectguid","syncattrs_hash","dn_hash","whencreated","whenchanged","placeholder"
M592F00南投縣分局第二課(停用),M592F00,"OU=M592F00,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","9bec68c23f8e4e958b239bec68c23f8e","2aaf86b3ea98b31c6dc2c7dbd91e5647a67357e23a85ba9a14072ae22382e7e5","7d66977269724f311328f96a2659da0f98986328fcdaabf78297374f243eba36",2013-03-08 10:09:03,2023-01-13 18:48:15,inner
M592E10南投分局營所遺贈稅課,M592E10,"OU=M592E10,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","3d4a04e01e7e4e98b9073d4a04e01e7e","432dbac108c6d767516a3d9dff8d59ac348c8e0fe95b085a9d4bcd49ebaf5b2f","61e4f43d30994aa2f8f7e3ca864dc6dd102daa3dcc4267ed79a9eaf4bc99378a",2013-03-08 10:13:51,2023-01-13 18:48:15,inner
M592H00南投縣分局第三課(停用),M592H00,"OU=M592H00,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","43f9df0add134061ae3d43f9df0add13","8b723ef1318784101a0744de372d0865e988749fa88666b299500c8d3577ee00","1faef2e6bd489023eda6c786fc1acee6f8a27784b944039f7004927776fc4e4f",2013-03-08 10:03:35,2023-01-13 18:48:18,inner
M592H12南投分局銷售稅課,M592H12,"OU=M592H12,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","52d32856da7a4f27a29052d32856da7a","7e152aabaf511b3f2ca3fd145a35e62a4acf76323482784e450f6104e5065a1f","73000700e99e9b452d12c34a0e0142b11f9f50828d2343292ce99283849e0b18",2013-03-08 10:05:08,2023-01-13 18:48:18,inner
M592J13南投分局服務管理課,M592J13,"OU=M592J13,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",bbb2ba7148394b7980a9bbb2ba714839,b36780a0f73759bab10c99fac9521fb7110b3a1247aae14b36ca6441075362e2,b61e455df55a861ee976cb4a00ad462e9d3360bdf034a7b3d96b525cb6431264,2013-03-08 10:22:03,2023-01-13 18:48:19,inner
M592J00南投縣分局第四課(停用),M592J00,"OU=M592J00,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","78b22244ca70498fbf8878b22244ca70",c16c5c41f75912c6db051b261d211880117189a8c6c5b763bbaa241ed08531c9,"274f2ef5881608ff30b4295f7cbac251ecb7e10ea1a830c5248b4bacd4656888",2013-03-08 10:19:38,2023-01-13 18:48:19,inner
M592L00南投縣分局會計室(停用),M592L00,"OU=M592L00,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","3d1de029f34d46cb844e3d1de029f34d","28007eaa857704af5ab6e8d1e9412833f9eab1d1d22ff2ba1dd68ec3fc96b4bd",afca5ad711130418912f5c0a745e5c8a1137fca1ff634e19d1180b64431f64e7,2013-03-08 10:15:25,2023-01-13 18:48:21,inner
M592K02南投分局秘書室,M592K02,"OU=M592K02,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",b42bf08666764b2388e7b42bf0866676,"7a0ca395da52988c2a92b8135601309f83212c2ee1e5d5913c604abc88facbe6","90e9ae1ebcee5e6fb4b6d364d8e62622c4aebe37171a740e109e5a8b559345a4",2013-03-08 10:16:56,2023-01-13 18:48:21,inner
M592L05南投分局主計室,M592L05,"OU=M592L05,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","090763a9106f4d0d8d90090763a9106f","03cc991bf72bdaaabae209220a16a9b88ac1d72b8446a7cbecd1d40254ee93c5",f890ab0f74152a9cea4602cd165b26aa2fa6721a7dcd50d15bec1922d3507359,2013-03-08 10:15:32,2023-01-13 18:48:22,inner
N552G08彰化縣分局資料課(停用),N552G08,"OU=N552G08,OU=N555500,OU=N55,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","7d8df2cbf69940b68d1f7d8df2cbf699",a6af125e0f561457f4fea7c1b95888f2c3feeacb313e7fd09178be4945749c2e,"620f8572a697e427c0f46b77b7faeaa35c38f55c40defd116da95ff1a35c20f6",2013-03-08 10:19:48,2023-01-13 18:48:28,inner
N552J00彰化縣分局第四課(停用),N552J00,"OU=N552J00,OU=N555500,OU=N55,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","775ad32d8ac4434aba00775ad32d8ac4","3efa0488b5bccb67700d8a0c1629ca00584fbe989d5291ffa33b618c1c7e0271","3d9910cbb68da79617a39d1ed0b83b999d73a0848c7a347a9b1ef66a1c5610c3",2013-03-08 10:11:51,2023-01-13 18:48:29,inner
N552C00彰化縣分局審查課(停用),N552C00,"OU=N552C00,OU=N555500,OU=N55,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",b2d25045e7f04c4c9d87b2d25045e7f0,f8ace2cc0e02eccf5720c2494335a026b88ac2eeb898e0d723b1f1c8c8aaa5ad,"6b70b375d0a4725ec34a3d4cb995811a3a7a5206199e1a487b6c183a2833264f",2013-03-08 10:08:31,2023-01-13 18:48:38,inner
N552D00彰化縣分局徵收課(停用),N552D00,"OU=N552D00,OU=N555500,OU=N55,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","221568706b944e1f89cc221568706b94",e1dcb38347d88482154cfaf997eb00d9ba8622cab7f866a38e13f84b9c3f8966,"06ec808f77508a47f4fffacbcf4d2077d4bf4e360870685921648e25bb1659f1",2013-03-08 10:05:53,2023-01-13 18:48:39,inner
N552C07彰化縣分局審查課(停用),N552C07,"OU=N552C07,OU=N555500,OU=N55,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","4b3eb2d48c1141f3bf4a4b3eb2d48c11","951f6c8a391f8e94116511972ced1e44021b48339a6ecec0e2b9b13497ae9498",b07b943f8f4c708222e7f7f5cb00422bddf335cc294fb5ea535077e312d3396a,2013-03-08 10:09:07,2023-01-13 18:48:39,inner
N575704北斗稽徵所審查股(停用),N575704,"OU=N575704,OU=N575700,OU=N57,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",b3930e7ff18f46ab8953b3930e7ff18f,"15acaac8a01a7ac4106e970f86fdd084d4125f509484f9362873a842a701c139","47b80d0b6698bba5b400b7b02bee745aeef64eb0de480b69e3f5062babd04792",2013-03-08 10:20:51,2023-01-13 18:50:16,inner
N575706北斗稽徵所資料股(停用),N575706,"OU=N575706,OU=N575700,OU=N57,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",a544d5127589459b8208a544d5127589,"6bb4cc0c71fd81b244fd6c8a6d805ffe222e709eda2562d82f6aea39560d85ce",ee591e13ffdabb23ef2f251377921a1b111a5610c239d6bbd5da3d46509cddc5,2013-03-08 10:21:08,2023-01-13 18:50:17,inner
B011G02資料科蒐集整理股(停用),B011G02,"OU=B011G02,OU=B011G00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","4613e7668cad8d4f93401fa463746435","70ca9175e38369e7980ad71d953781cddc130bdf8144492adc898115a8a27cfc","295f4c4d9d81468d53c33212b2769da7628d2a801112f30f8b9315c3312758bc",2012-02-06 15:33:30,2023-01-13 18:46:20,inner
B011H01法務科法規管制股(停用),B011H01,"OU=B011H01,OU=B011H00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",e2bc76d1fa51114880799561df124cce,"0e6c0575eaf9b722d863fe3681b3211e946e7647ae30b3f86a6e6b6ba2a24768",bb3ec24d19f2868d128e820cc9c497b99ec91b434b18f442884ffc6f47af259a,2012-02-06 15:33:32,2023-01-13 18:46:27,inner
B011H04法務科行政救濟二股(停用),B011H04,"OU=B011H04,OU=B011H00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","3b7816182de5344e86e1ef047666c664",ade88f9c2598c404bab6c2fb6df1b46480e29702cf48a91a7f1e04b0da0746ca,ef40043a4c7f39f909170b9023aacdba1d310dfe6154ccd93ee86f8246900ec9,2012-02-06 15:33:35,2023-01-13 18:46:29,inner
B011H05法務科違章一股(停用),B011H05,"OU=B011H05,OU=B011H00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","2411e5723eb54e4098a39bb8ce33eb9d","073e217d50e4d1bea596fb5b72838656d72c2d904db4824fa54e1b27dda8fde8","27ffa8540a848a4ac17aaac04f4b03ac4e94cdedbfbba1aa9c56a6d546ed6a7a",2012-02-06 15:33:36,2023-01-13 18:46:30,inner
M592F11南投分局綜所稅課,M592F11,"OU=M592F11,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",f7dc62e0891740629e20f7dc62e08917,bde2f75c20500834d97e7e6450757103971e41c171905bd0a9b7c6194f037dab,f79ff11889862d0f9281339e747cb8e26b1aeda260527e3d202903efb369d883,2013-03-08 10:10:58,2023-01-13 18:48:16,inner
N552H12彰化分局銷售稅課,N552H12,"OU=N552H12,OU=N555500,OU=N55,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","1ef5003fd1e84ac093141ef5003fd1e8",c0161ae1e990b8ae1f3b7adb989390d583cfbb1f48898864fe07eff3c83fbef8,"0a4fa87760ba278223a642ed59028e28c589646362168cfeca4797ab3c0603e0",2013-03-08 10:18:15,2023-01-13 18:48:29,inner
N552J13彰化分局服務管理課,N552J13,"OU=N552J13,OU=N555500,OU=N55,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","2d0ceea4463c476e89112d0ceea4463c","0b31dd74943b76ce9690c20bf0c4cb73cb2a69d1eb5cd05dc435fc0aacf53278","4898d5591408ab364f3429350384269ed07871e6be69310d32b1ca0977f55dad",2013-03-08 10:14:05,2023-01-13 18:48:30,inner
N552L05彰化分局主計室,N552L05,"OU=N552L05,OU=N555500,OU=N55,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",fd134be08a154830b9e9fd134be08a15,"08df7414919a0eb9b76e450d3cb9475eae3413bc21913eeebcda7a22d7ea7671",afd83213ba18de9411b3a3a7f45d84d9fdd6ea9b42ef5288ae16a23036b06f34,2013-03-08 10:06:43,2023-01-13 18:48:33,inner
N552B06彰化縣分局服務課(停用),N552B06,"OU=N552B06,OU=N555500,OU=N55,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","500de329bda44da0a0aa500de329bda4","68356ede0ad2047c0cc5f735f1fb26cfe7db57d52d8ce9da2fcd72d76a4eecc4","987bd9b1b7201ce7692272a54779a50a3072a5c44abd26ef21823eace6fbd3e2",2013-03-08 10:11:39,2023-01-13 18:48:37,inner
P632A00雲林縣分局分局長室(停用),P632A00,"OU=P632A00,OU=P636300,OU=P63,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",ca15092d5b004965b96eca15092d5b00,"0ad60d1bf19f60f7ac015c6c505e93ce36a443148a11922c39c2828f4be615e1",c518ef31db1f5b63094677744d5fd282b5eee00735592189716ceb51189e5379,2013-03-08 10:15:46,2023-01-13 18:48:42,inner
P646403北港稽徵所服務股(停用),P646403,"OU=P646403,OU=P646400,OU=P64,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",ca84596af85546a59b42ca84596af855,"1fbb367de46f2d5f110902e5c9ff36849bb0983043730cc2393e7a19299c73e4",e93497d2c7203a6961002485563d4b3f078e508c6b0c93ce07066cd64273e4fc,2013-03-08 10:17:07,2023-01-13 18:50:22,inner
L502E10臺中縣分局第一課,L502E10,"OU=L502E10,OU=L505000,OU=L50,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","40452be459af4ff4833e40452be459af","8603ea70b2efee6fbbd990d8aa20d5f99688699a84853a50492e7afeb832fc11","30616883dbbf805f2d9fe212ad97d35d5eb48ce982ccfae7977ef2ba1b56c08c",2013-03-08 10:04:19,2019-11-14 16:34:28,inner
BELN0財政部,BELN0,"OU=BELN0,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","02e73e58300241cb9ef702e73e583002","7238e56d7011d05c836ccd9fc9e83ba7984162240800bd04283a0decc49219db","5ecc43113b7313b76e8586b6bb9a984d916688c3445e4c7ee6a12e420f2810ef",2013-04-10 14:18:45,2019-11-14 16:39:36,inner
B011K02秘書室出納股,B011K02,"OU=B011K02,OU=B011K00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","0fed4930d6717d44bd11be7df4b4c18f","0d2b25420ff2e5439b108017b56dffbff8cef65f072562a3dd3bbabb9c513447","8c03def86757a6e448830647afe863a507ae3d58229f71c876c28cb1ee218fe9",2012-02-06 15:33:48,2023-01-13 18:46:36,inner
B011K01秘書室事務股,B011K01,"OU=B011K01,OU=B011K00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",fde5314cc8d429448d8eb112e8dc2cfe,"21b7c528c2435a8144c7dd2b380c3a136174609e23f2747a5d8a5a813889d3e9",aacb61f2bab98663ab382d145b20c79a1d873d33348822b14143e6df45ad0180,2012-02-06 15:33:47,2023-01-13 18:46:36,inner
B011K03秘書室文書股,B011K03,"OU=B011K03,OU=B011K00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",e9e7fd288bb44149bf8fbaeb14366d3c,ead2fe4b9db116f4b5fb928f30048455a8ebcea2926061ce8225fa2e27abebf0,c49b04d1fdec65222e05dcef1a8eaf96d28e02bad103f495cdb096809aaf6609,2012-02-06 15:33:49,2023-01-13 18:46:37,inner
B011K04秘書室檔案股,B011K04,"OU=B011K04,OU=B011K00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","00c22424306ab54bba5492f874faa23d",bac5405798386e05c72da2d710754dd8ae9eb2f23fc5fc83ecd9b26440a63108,"4de962a3b40eebd066c94a8f9b1243c2322cc4ba0704cf1d2ef87082a0e60232",2012-02-06 15:33:51,2023-01-13 18:46:37,inner
M592D00南投縣分局徵收課(停用),M592D00,"OU=M592D00,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","1ad2f80562af45eea1181ad2f80562af",ac97a66f63cf1f8619d95c35fd2b7d007106a00d1a8315675c149b235fb588bf,"6523fc6a7d48f020370613bd7ea6e35562376f0caf5f9e7729810cd87b25092b",2013-03-08 10:15:07,2023-01-13 18:48:13,inner
M592G00南投縣分局資料課(停用),M592G00,"OU=M592G00,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","8d946e92d726425d87c78d946e92d726","2aba86de35884e4d480ad68c57ddb6b6f99364af219a01b0c5b89f295305000d","0e8208ff26430c47097c9c36711034707001ff215476e828d7ad268ed34084c7",2013-03-08 10:06:25,2023-01-13 18:48:16,inner
M592G08南投縣分局資料課(停用),M592G08,"OU=M592G08,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","0558dc31926b4fdb80c30558dc31926b",ec4cb3573f254c81f76b0987a1b2d013e61ad62ba6d830998fa73de4d3ee20d9,"8b1b64c2d1d768c0eb41c0419982fab6dfb68d75d398ad8c54b21ead808f73d5",2013-03-08 10:06:47,2023-01-13 18:48:17,inner
B474710東山稽徵所服務管理股,B474710,"OU=B474710,OU=B474700,OU=B47,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","6a97bac3eabc4928a4de6a97bac3eabc","39d8da16dc5bc7eb11cb29fc1fbd5216441a09b33cf9d8dc089c43c141a0858f",ab1ab3419733f4cc5c99a3b4e713e51398a68ea6ec38e4a06a93defdc1f744eb,2013-03-08 10:21:49,2023-01-13 18:49:04,inner
B474709東山稽徵所銷售稅股,B474709,"OU=B474709,OU=B474700,OU=B47,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","3c083c664cf04649a2603c083c664cf0","34527799d06bc604b49677c993a2669e35fa8165b5154205aa3ee8209b23ea3f",d37d80657e5fd7722479865dddbdf00e99a5367340e485d19be1cceac70a6699,2013-03-08 10:20:20,2023-01-13 18:49:04,inner
L525210大屯稽徵所第四股,L525210,"OU=L525210,OU=B525200,OU=B52,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","008cc819b6244a1a8406008cc819b624","726722dfb647cdccbd97f41d8d7dfd76311b6462d16aac31341eea54432af4ae",bd651fe90058810222ac0090770fbc66e10c92759fc31b30c65cb60fc01bbd13,2013-03-08 10:14:01,2019-11-14 16:33:04,inner
B011L02主計室第二股,B011L02,"OU=B011L02,OU=B011L00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",e3763a687ae48f4cb8059e386ee71326,d1b08a2ee97071c4d2610baee8a1e984aca00807a2a7091452168e95f0bad676,f4d7e266f109ee1aedb45e1d48540326455c4ce4a28ecba41256a060fe49e2e2,2012-02-06 15:33:54,2023-01-13 18:46:39,inner
B011L01主計室第一股,B011L01,"OU=B011L01,OU=B011L00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",f0b2d68ba081ea498370614f27af35c1,dc537141c1c744ff863ad51c7d51cd8962d8700c2334f9ed0b3252d9d92fb142,ed7df6a549f9aeb48afffaa85fab85f7552f9b3738b4018f99b3a9a3745c8407,2012-02-06 15:33:53,2023-01-13 18:46:39,inner
B011T05法務組法規股,B011T05,"OU=B011T05,OU=B011T00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",f202d1c7d1374a91914df202d1c7d137,"032262b1bfdb5315b7a73061cb7f3e66fea1feacc8d6d9b240cd107f6a86c7da","16767a7bde25a5329db7d588f8d4e380d94612af6a1a8e5f0dd4bd8adf6d4beb",2012-07-03 10:50:26,2023-01-13 18:47:08,inner
B011T07法務組行政救濟一股,B011T07,"OU=B011T07,OU=B011T00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","93fb8cdafec54613963c93fb8cdafec5",f791a724f0cb2fcdb6f758aff435561ddce97784f47c6d75fae08af3083f7a6e,"9272ca6d030a7afc5f3b91aaa6b4e8fc5992cc9e1594ffc9491489d8b31cdbaf",2012-07-03 10:50:30,2023-01-13 18:47:09,inner
M592A01南投分局分局長室,M592A01,"OU=M592A01,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",abae4e7d7082455d9b0dabae4e7d7082,"9031bb1ef9cdcc05c8b3d19fed7c0179a4863f0c8f732c1e3fc52a054222fe42",e969381a3ab60547f4cf6190421b01eb90e58c764b461e976c60018c3a7e859a,2013-03-08 10:22:44,2023-01-13 18:48:10,inner
M592M00南投縣分局人事室(停用),M592M00,"OU=M592M00,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",c8542bf73c9c4c6798e1c8542bf73c9c,f60d8c4665c09cfb20d93ebfc552ebedda478741c371cf4b0023bc68541856d9,"8981858a638f8ebdeb1827aa91514b87f71ae084556ce13ceff3bb91ef023337",2013-03-08 10:12:15,2023-01-13 18:48:23,inner
M592M03南投分局人事室,M592M03,"OU=M592M03,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","29d45ba04acd4860b43329d45ba04acd",f81b678a982b610e5de65d2bafed48ca1923729a97d9efd5a8295b4345c9f434,"7704f4fd5d6773db2f40a7e27ccb66fa19f78c47fb852ba30dd53c31409c61a0",2013-03-08 10:12:44,2023-01-13 18:48:23,inner
M592N00南投縣分局政風室(停用),M592N00,"OU=M592N00,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",de6efe47b9b342b89cfdde6efe47b9b3,dd97774711accce50bdfb65dd3f4edc50cf193f0423d50584d0b7c050e19fbc3,"66e1defb4738f21dbc945a404ab264aaadc40114167453a789efb09b78471d0d",2013-03-08 10:09:37,2023-01-13 18:48:24,inner
M592N04南投分局政風室,M592N04,"OU=M592N04,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","015a8d1d62b64d749834015a8d1d62b6","132cfde4f69a6a02da2f9fef186e1d2505909e55c51034b0d77bcd36b85c4b92","984bcc9390c7be08f10ebba1edc1a60d98992524dc63605bd26992a2cdaa6662",2013-03-08 10:09:52,2023-01-13 18:48:25,inner
N552F00彰化縣分局第二課(停用),N552F00,"OU=N552F00,OU=N555500,OU=N55,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","195f2b0434174159ab76195f2b043417","7c8ffa20f163412ce0863639c6f8b457d34a97e0676cbe8d84e928598dfe5f87","2ea623272867a8f840224f26dbbd95ea4583f509b35094a5f1268214f33b813a",2013-03-08 10:22:47,2023-01-13 18:48:26,inner
B535302東勢稽徵所審核員,B535302,"OU=B535302,OU=B535300,OU=B53,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","89aab12ad1f947b2a99589aab12ad1f9","0c6618e217dc1ec94fe003071482f8364c86cb281344646d46d380afa4c97aa5","8ba73b266c1452ee647d1e9c53c2c16dd3ea1b22c84c5d86ba3a7d4b4dad9734",2013-03-08 10:18:50,2023-01-13 18:49:27,inner
BELN207賦稅署秘書室,BELN207,"OU=BELN207,OU=BELN2,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",e0dc24888ab04b4092a9e0dc24888ab0,"8877a501aee68257e6d1c5a7b307677f4308c1ba2ae5f0bfd4b0b1e8d37521cb","085dc4caf60f34a7e0e2dc178306ed1533e59fd047e07ea43833eaa1634ebfe5",2013-03-14 16:35:03,2019-11-14 16:40:04,inner
BELN4統計處,BELN4,"OU=BELN4,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",af8a830d9dfe40a3882baf8a830d9dfe,c3252d25ccb8ee2e72fc3b10e35fa112077ce1a22ed924ac499d9f2341256464,a73f76c03014d2483fa3c21afd366f3457d8f0fccbf0dfaee21b4ef1b57c7833,2013-01-28 09:35:24,2019-11-14 16:40:14,inner
BELN501印刷廠臺北聯絡處,BELN501,"OU=BELN501,OU=BELN5,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","437499e458cb4c49885d437499e458cb","24ae3a63e3913ce658bad59f3d1f41b058143d1045bd4f2a46fa4b246a8540fb","994b4977fdeef8970cbb3994f41ba439b84c0153bb4064d6f7d1ac9fce2d5879",2013-01-28 09:35:45,2019-11-14 16:40:15,inner
BELN620國有財產署北區分署,BELN620,"OU=BELN620,OU=BELN6,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",a85efb95e7d045148b6da85efb95e7d0,"7f01b433953db92d8921c3ba0538dbfc0611f8fde98a90fbb5e5153938e44ede","76ce07521570d8a82a8d562909098b5a276e3999b6f7440b7af01ae2b7af95e8",2013-10-29 14:45:58,2019-11-14 16:40:15,inner
BELN5印刷廠,BELN5,"OU=BELN5,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",c3e82e101d2d47fc9ffcc3e82e101d2d,"1ffe48e91057c3c79bf4663f932f595b8cb1b29fa77ac2d675f14067ba35e823","7b9029a9d809dd70cc4852aecea6cd28b3b73ff3958fd7ef94aa20bbec21c1ce",2013-01-28 09:35:39,2019-11-14 16:40:15,inner
