"dn","objectguid","cn","samaccountname","name","grouptype","memberof","extensionattribute10","extensionattribute11","extensionattribute12","extensionattribute13","extensionattribute14","extensionattribute15","mail_enabled","syncattrs_hash","dn_hash","whencreated","whenchanged","placeholder"
"CN=BELN001,OU=BELN001,OU=BELN0,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,BELN001,BELN001,BELN001,-2147483640,"CN=BELN0,OU=BELN0,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",BELN001財政部國際財政司,BELN001財政部國際財政司,BELN001財政部國際財政司,BELN001財政部國際財政司,BELN001財政部國際財政司,BELN001財政部國際財政司,"0","03295ef4e8f3a322f06e959b8ab829e1afc9c9e1c43e6fb8240ff30ccca6005a","6199796f2bef3038b634b503a7b1bec100da1dd61cd0fef17a9a6888a67abf3a",2013-04-10 14:20:16,2019-11-14 16:39:36,inner
"CN=B492D00,OU=B492D00,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B492D00,B492D00,B492D00,-2147483640,"CN=B494900,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B492D00臺中分局徵收課(停用),B492D00臺中分局徵收課(停用),B492D00臺中分局徵收課(停用),B492D00臺中分局徵收課(停用),B492D00臺中分局徵收課(停用),B492D00臺中分局徵收課(停用),"1",d36f2a659fb740492a527107860a3c2a89479ce9c1f01cf692a064139e10aaea,c69a81c2758349667e38cdaddab5174228330568b7a432e57bc4b8b20c152b6e,2013-03-08 10:10:19,2023-01-13 18:47:18,inner
"CN=BELN104,OU=BELN104,OU=BELN1,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,BELN104,BELN104,BELN104,-2147483640,"CN=BELN1,OU=BELN1,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",BELN104財稅資料中心第四組,BELN104財稅資料中心第四組,BELN104財稅資料中心第四組,BELN104財稅資料中心第四組,BELN104財稅資料中心第四組,BELN104財稅資料中心第四組,"0",f1aff426859fcee9af1cdaa301f875a05ef0af6102eb69e53897697cb0940b67,b4fa6530dbb5409a8cb6bbb4cf7b4c40de0c8837916e63b7581daae438b70162,2012-11-29 10:07:19,2019-11-14 16:39:43,inner
"CN=B492E00,OU=B492E00,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B492E00,B492E00,B492E00,-2147483640,"CN=B494900,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B492E00臺中分局第一課(停用),B492E00臺中分局第一課(停用),B492E00臺中分局第一課(停用),B492E00臺中分局第一課(停用),B492E00臺中分局第一課(停用),B492E00臺中分局第一課(停用),"1","8ae6f1a8b721bcf2f4ba3a6fd68eff8a1170afdd68d679a0cb59b854d04dbf1e","379a2fef7074b3a8d17ab4c6aac74df0ec6531308ee703f425e64ba22934b53f",2013-03-08 10:07:24,2023-01-13 18:47:19,inner
"CN=B492D09,OU=B492D09,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B492D09,B492D09,B492D09,-2147483640,"CN=B494900,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B492D09臺中分局徵收課(停用),B492D09臺中分局徵收課(停用),B492D09臺中分局徵收課(停用),B492D09臺中分局徵收課(停用),B492D09臺中分局徵收課(停用),B492D09臺中分局徵收課(停用),"1","62a4ccfe4f59c1da47704bc292252875b3d392bfd22060c5fd14f45afc21c439",baecbba588205e345e2239a947202b700f953ee257d429e644e83d40ba4a4641,2013-03-08 10:10:43,2023-01-13 18:47:19,inner
"CN=B492E10,OU=B492E10,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B492E10,B492E10,B492E10,-2147483640,"CN=B494900,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B492E10臺中分局營所遺贈稅課,B492E10臺中分局營所遺贈稅課,B492E10臺中分局營所遺贈稅課,B492E10臺中分局營所遺贈稅課,B492E10臺中分局營所遺贈稅課,B492E10臺中分局營所遺贈稅課,"1",e75d0d630e09ebaf5630ebdec060c3788da6a646d42adcd05809b9e7d5f476e6,"592dfec514a68fbd6967eb9857c3b86aa7ab2e86aed62acc7363770d769dfd5e",2013-03-08 10:08:28,2023-01-13 18:47:20,inner
"CN=B492F00,OU=B492F00,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B492F00,B492F00,B492F00,-2147483640,"CN=B494900,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B492F00臺中分局第二課(停用),B492F00臺中分局第二課(停用),B492F00臺中分局第二課(停用),B492F00臺中分局第二課(停用),B492F00臺中分局第二課(停用),B492F00臺中分局第二課(停用),"1","17e8a9a1ea1fae7dff0618c5812a932b9907a898f38b1b0bab777877f93cd605",c732addc4a8c58c82cfa58c3661f2edab7f66c86aefd17f6ef9a32f533fe7574,2013-03-08 10:04:22,2023-01-13 18:47:20,inner
"CN=B492F11,OU=B492F11,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B492F11,B492F11,B492F11,-2147483640,"CN=B494900,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B492F11臺中分局綜所稅課,B492F11臺中分局綜所稅課,B492F11臺中分局綜所稅課,B492F11臺中分局綜所稅課,B492F11臺中分局綜所稅課,B492F11臺中分局綜所稅課,"1",aaedc50e35866bde7a3240e66e2af618e70a47ea87d3a5a1b5cbd7e79e5a22df,cb4e4795ba4eb8d97084a48f55dbb00004a6b62945086e35225caa92f22e86ce,2013-03-08 10:05:28,2023-01-13 18:47:21,inner
"CN=L502G08,OU=L502G08,OU=L505000,OU=L50,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,L502G08,L502G08,L502G08,-2147483640,"CN=L505000,OU=L505000,OU=L50,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",L502G08臺中縣分局資料課(停用),L502G08臺中縣分局資料課(停用),L502G08臺中縣分局資料課(停用),L502G08臺中縣分局資料課(停用),L502G08臺中縣分局資料課(停用),L502G08臺中縣分局資料課(停用),"1",b80d2287aa616e204ef5261c9d608b8f1aff7fe24489ced82b47973056f7f1d6,"33e300ec851a592801290da7b65623f9216ee4a614e5d5daf560ae32759a76d4",2013-03-08 10:19:20,2019-11-14 16:34:29,inner
"CN=B492G00,OU=B492G00,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B492G00,B492G00,B492G00,-2147483640,"CN=B494900,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B492G00臺中分局資料課(停用),B492G00臺中分局資料課(停用),B492G00臺中分局資料課(停用),B492G00臺中分局資料課(停用),B492G00臺中分局資料課(停用),B492G00臺中分局資料課(停用),"1","322b36dce1467f524c17846921e447b72a450093514c6bc908e89295cc06e57e","8efef2e7f078d359ff6812c5a1480a5bd3f01629899bda673a443113748346ba",2013-03-08 10:24:17,2023-01-13 18:47:22,inner
"CN=B492H12,OU=B492H12,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B492H12,B492H12,B492H12,-2147483640,"CN=B494900,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B492H12臺中分局銷售稅課,B492H12臺中分局銷售稅課,B492H12臺中分局銷售稅課,B492H12臺中分局銷售稅課,B492H12臺中分局銷售稅課,B492H12臺中分局銷售稅課,"1","0d344e97c5c0e448a11072c5a53bda6965074a32516a8305e2dbf61daca1f353","2ba9aa347f670a465125c330c2fcd9cfac2c7e5182db0ba73a6bdaf306c002ff",2013-03-08 10:22:30,2023-01-13 18:47:23,inner
"CN=B492J00,OU=B492J00,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B492J00,B492J00,B492J00,-2147483640,"CN=B494900,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B492J00臺中分局第四課(停用),B492J00臺中分局第四課(停用),B492J00臺中分局第四課(停用),B492J00臺中分局第四課(停用),B492J00臺中分局第四課(停用),B492J00臺中分局第四課(停用),"1","65300288d7a5b2a1b599c3735e9ea394e7f3a514c361af7eb03765d22806ebdb","0d961bb3f950c23e6ffad91f52a57c2cfe9d562073b046d2c85c9b094c1c33a9",2013-03-08 10:16:01,2023-01-13 18:47:24,inner
"CN=B492J13,OU=B492J13,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B492J13,B492J13,B492J13,-2147483640,"CN=B494900,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B492J13臺中分局服務管理課,B492J13臺中分局服務管理課,B492J13臺中分局服務管理課,B492J13臺中分局服務管理課,B492J13臺中分局服務管理課,B492J13臺中分局服務管理課,"1","8f0ef98d308ebc8b8e175dbd6abdc1023e6ed8856962dfd7f42332b42058279f","150fe7fe281b1bc63d7663a1b641963680ad003f8384d5537e498243955ee915",2013-03-08 10:16:39,2023-01-13 18:47:25,inner
"CN=L502L00,OU=L502L00,OU=L505000,OU=L50,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,L502L00,L502L00,L502L00,-2147483640,"CN=L505000,OU=L505000,OU=L50,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",L502L00臺中縣分局會計室,L502L00臺中縣分局會計室,L502L00臺中縣分局會計室,L502L00臺中縣分局會計室,L502L00臺中縣分局會計室,L502L00臺中縣分局會計室,"1","95dab868509c846553119fbb5b80593de6238b34950ce3318e8de05fd0ed3ee9",cb63d2fcdd33164aee33ab4f85573dda369fce152cbf49a3e54e2088d2447e4f,2013-03-08 10:06:00,2019-11-14 16:34:30,inner
"CN=B492K02,OU=B492K02,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B492K02,B492K02,B492K02,-2147483640,"CN=B494900,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B492K02臺中分局秘書室,B492K02臺中分局秘書室,B492K02臺中分局秘書室,B492K02臺中分局秘書室,B492K02臺中分局秘書室,B492K02臺中分局秘書室,"1","51f95cb3c57d79c0997bafd2490897be323c8e7b963317f7b4e4bdb195f96f19","669ddd71d181f848c59a7a60a9e192cc00210f6fbbfdf2a643eddecaff88e085",2013-03-08 10:13:41,2023-01-13 18:47:26,inner
"CN=B492L05,OU=B492L05,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B492L05,B492L05,B492L05,-2147483640,"CN=B494900,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B492L05臺中分局主計室,B492L05臺中分局主計室,B492L05臺中分局主計室,B492L05臺中分局主計室,B492L05臺中分局主計室,B492L05臺中分局主計室,"1","1856066ff0e12998fec782068429361ee527d335a1c61ae7f587f87c033f72d0",fef361170be34c04c1b91e3c4420a00cd2ccdd52a0c0f457d2ec72d9574f5c6d,2013-03-08 10:11:05,2023-01-13 18:47:27,inner
"CN=B492L00,OU=B492L00,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B492L00,B492L00,B492L00,-2147483640,"CN=B494900,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B492L00臺中分局會計室(停用),B492L00臺中分局會計室(停用),B492L00臺中分局會計室(停用),B492L00臺中分局會計室(停用),B492L00臺中分局會計室(停用),B492L00臺中分局會計室(停用),"1",fa82e79f66dffa9405acfe4fa58671502186e42c241c6471f29f182f7f02be50,"28c80b9612dbf86b64f537d73929abedecd69a4fce54e27ba27ea6fbb190c0a3",2013-03-08 10:10:39,2023-01-13 18:47:27,inner
"CN=B492M00,OU=B492M00,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B492M00,B492M00,B492M00,-2147483640,"CN=B494900,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B492M00臺中分局人事室(停用),B492M00臺中分局人事室(停用),B492M00臺中分局人事室(停用),B492M00臺中分局人事室(停用),B492M00臺中分局人事室(停用),B492M00臺中分局人事室(停用),"1","481af28a98de08908bc74e59d7d89c87405c5e564322140e99afae5935571479","91e01d96b32f9f5baab540d71a756862845c375bd71a6f742af3670fd18936b1",2013-03-08 10:07:47,2023-01-13 18:47:28,inner
"CN=B492M03,OU=B492M03,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B492M03,B492M03,B492M03,-2147483640,"CN=B494900,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B492M03臺中分局人事室,B492M03臺中分局人事室,B492M03臺中分局人事室,B492M03臺中分局人事室,B492M03臺中分局人事室,B492M03臺中分局人事室,"1","6ae2aa24049f38de08f5a8228ec660f8c1a9db8b1e46c9a1557475f4849bcd43","55808403279e6a6de765553558171e11616022997712ae253e648c9ac0da8ae6",2013-03-08 10:08:00,2023-01-13 18:47:28,inner
"CN=BELN203,OU=BELN203,OU=BELN2,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,BELN203,BELN203,BELN203,-2147483640,"CN=BELN2,OU=BELN2,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",BELN203賦稅署財產稅組,BELN203賦稅署財產稅組,BELN203賦稅署財產稅組,BELN203賦稅署財產稅組,BELN203賦稅署財產稅組,BELN203賦稅署財產稅組,"0","244702172324d585c85e85e280260fdcadd4ccaecba259167bdca1e17b02c7ae","91c64d09c955a723c5a70f0c48e6c73a89276d93e4241524cbabe804b02ca3af",2013-01-28 09:34:28,2019-11-14 16:39:52,inner
"CN=B502A01,OU=B502A01,OU=B505000,OU=B50,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B502A01,B502A01,B502A01,-2147483640,"CN=B505000,OU=B505000,OU=B50,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B502A01豐原分局分局長室,B502A01豐原分局分局長室,B502A01豐原分局分局長室,B502A01豐原分局分局長室,B502A01豐原分局分局長室,B502A01豐原分局分局長室,"1","0d5308f433bcda99d259db618ad2d263e1ef932ff922779f296d64b45bb27c8b","910fec8946a9e8333174e94ce6af8836109551a8f11eeba8e2c30011d0ddda1f",2013-03-08 10:08:17,2023-01-13 18:47:31,inner
"CN=B502A00,OU=B502A00,OU=B505000,OU=B50,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B502A00,B502A00,B502A00,-2147483640,"CN=B505000,OU=B505000,OU=B50,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B502A00豐原分局分局長室(停用),B502A00豐原分局分局長室(停用),B502A00豐原分局分局長室(停用),B502A00豐原分局分局長室(停用),B502A00豐原分局分局長室(停用),B502A00豐原分局分局長室(停用),"1","98f71a8ce8bfd6ef9a1626db313dd12fa2bef9b5ff195e998d0bfb32e45b2fcb","0c4f72a682986f68fef11fe0edb0f7b13b989137f606c41f1b4ce40ecdb756c5",2013-03-08 10:08:14,2023-01-13 18:47:31,inner
"CN=B502C07,OU=B502C07,OU=B505000,OU=B50,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B502C07,B502C07,B502C07,-2147483640,"CN=B505000,OU=B505000,OU=B50,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B502C07豐原分局審查課(停用),B502C07豐原分局審查課(停用),B502C07豐原分局審查課(停用),B502C07豐原分局審查課(停用),B502C07豐原分局審查課(停用),B502C07豐原分局審查課(停用),"1","8289916a8e6e57d3a9f1d0e05bba3ee8ae2715813dad9736f0516c39e091251f",d89e1e518a0086c1e0618f1384127bcb00d8748cb6e58a752bf4922075940140,2013-03-08 10:25:02,2023-01-13 18:47:34,inner
"CN=B502D00,OU=B502D00,OU=B505000,OU=B50,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B502D00,B502D00,B502D00,-2147483640,"CN=B505000,OU=B505000,OU=B50,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B502D00豐原分局徵收課(停用),B502D00豐原分局徵收課(停用),B502D00豐原分局徵收課(停用),B502D00豐原分局徵收課(停用),B502D00豐原分局徵收課(停用),B502D00豐原分局徵收課(停用),"1","71b0dc7fd4af472125462f97d12b94eec44c4b15873c36603e5b47d5b1a17ccd","18b3aa82ddcd77269b7665f96f1aab2c2fc803da7bd06cb39eafac30a7f95976",2013-03-08 10:22:10,2023-01-13 18:47:34,inner
"CN=B502D09,OU=B502D09,OU=B505000,OU=B50,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B502D09,B502D09,B502D09,-2147483640,"CN=B505000,OU=B505000,OU=B50,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B502D09豐原分局徵收課(停用),B502D09豐原分局徵收課(停用),B502D09豐原分局徵收課(停用),B502D09豐原分局徵收課(停用),B502D09豐原分局徵收課(停用),B502D09豐原分局徵收課(停用),"1",c64ebdd464d4efd0d67856c581899135fe5d826348c349c75cf66216eb5dbf25,ba800eb8b45de8ece852c2dcc1e61ff53f9442cf8c63942cffbae465f61a03a2,2013-03-08 10:22:20,2023-01-13 18:47:35,inner
